Layer,Name,GEOID,POP_2015-2019
,,,"Population (residents), 2015-2019"
Zip code,"60601 (Chicago, IL)",60601,15083.0
Zip code,"60602 (Chicago, IL)",60602,1145.0
Zip code,"60603 (Chicago, IL)",60603,1052.0
Zip code,"60604 (Chicago, IL)",60604,823.0
Zip code,"60605 (Chicago, IL)",60605,29060.0
Zip code,"60606 (Chicago, IL)",60606,3287.0
Zip code,"60607 (Chicago, IL)",60607,29293.0
Zip code,"60608 (Chicago, IL)",60608,80059.0
Zip code,"60609 (Chicago, IL)",60609,60939.0
Zip code,"60610 (Chicago, IL)",60610,40548.0
Zip code,"60611 (Chicago, IL)",60611,33224.0
Zip code,"60612 (Chicago, IL)",60612,33735.0
Zip code,"60613 (Chicago, IL)",60613,50761.0
Zip code,"60614 (Chicago, IL)",60614,71954.0
Zip code,"60615 (Chicago, IL)",60615,40590.0
Zip code,"60616 (Chicago, IL)",60616,54197.0
Zip code,"60617 (Chicago, IL)",60617,83553.0
Zip code,"60618 (Chicago, IL)",60618,94907.0
Zip code,"60619 (Chicago, IL)",60619,61207.0
Zip code,"60620 (Chicago, IL)",60620,67711.0
Zip code,"60621 (Chicago, IL)",60621,28018.0
Zip code,"60622 (Chicago, IL)",60622,53294.0
Zip code,"60623 (Chicago, IL)",60623,81283.0
Zip code,"60624 (Chicago, IL)",60624,34892.0
Zip code,"60625 (Chicago, IL)",60625,79444.0
Zip code,"60626 (Chicago, IL)",60626,50544.0
Zip code,"60628 (Chicago, IL)",60628,64254.0
Zip code,"60629 (Chicago, IL)",60629,110029.0
Zip code,"60630 (Chicago, IL)",60630,56433.0
Zip code,"60631 (Chicago, IL)",60631,29529.0
Zip code,"60632 (Chicago, IL)",60632,89857.0
Zip code,"60633 (Chicago, IL)",60633,12689.0
Zip code,"60634 (Chicago, IL)",60634,75082.0
Zip code,"60636 (Chicago, IL)",60636,30024.0
Zip code,"60637 (Chicago, IL)",60637,47300.0
Zip code,"60638 (Chicago, IL)",60638,58669.0
Zip code,"60639 (Chicago, IL)",60639,88204.0
Zip code,"60640 (Chicago, IL)",60640,69363.0
Zip code,"60641 (Chicago, IL)",60641,69880.0
Zip code,"60642 (Chicago, IL)",60642,19716.0
Zip code,"60643 (Chicago, IL)",60643,48887.0
Zip code,"60644 (Chicago, IL)",60644,46591.0
Zip code,"60645 (Chicago, IL)",60645,47270.0
Zip code,"60646 (Chicago, IL)",60646,28569.0
Zip code,"60647 (Chicago, IL)",60647,87633.0
Zip code,"60649 (Chicago, IL)",60649,46633.0
Zip code,"60651 (Chicago, IL)",60651,63492.0
Zip code,"60652 (Chicago, IL)",60652,43447.0
Zip code,"60653 (Chicago, IL)",60653,33154.0
Zip code,"60654 (Chicago, IL)",60654,20022.0
Zip code,"60655 (Chicago, IL)",60655,28569.0
Zip code,"60656 (Chicago, IL)",60656,28218.0
Zip code,"60657 (Chicago, IL)",60657,70958.0
Zip code,"60659 (Chicago, IL)",60659,42735.0
Zip code,"60660 (Chicago, IL)",60660,44498.0
Zip code,"60661 (Chicago, IL)",60661,10354.0
Zip code,"60707 (Elmwood Park, IL)",60707,43093.0
Zip code,"60827 (Riverdale, IL)",60827,28483.0
